wavenumber,intensity
400.0,0.806702
407.04,1.04885
414.07,0.245236
421.11,0.0
428.14,0.0
435.18,0.0
442.21,0.458757
449.25,0.0
456.28,1.160761
463.32,0.64014
470.35,2.665712
477.39,0.828076
484.42,1.026553
491.46,0.0
498.49,0.0
505.53,1.911593
512.56,0.21663
519.6,0.722702
526.63,0.418673
533.67,1.028298
540.7,0.0
547.74,0.0
554.77,0.733135
561.81,2.912361
568.84,0.0
575.88,0.0
582.91,0.297002
589.95,0.0
596.98,0.0
604.02,0.0
611.06,1.207241
618.09,0.047019
625.13,0.232915
632.16,0.0
639.2,0.817644
646.23,2.160653
653.27,0.764086
660.3,0.0
667.34,0.0
674.37,0.558363
681.41,0.524078
688.44,0.0
695.48,0.0
702.51,0.0
709.55,0.0
716.58,0.0
723.62,0.288251
730.65,0.0
737.69,0.0
744.72,1.90423
751.76,0.0
758.79,0.628247
765.83,1.105239
772.86,0.0
779.9,0.0
786.93,0.28088
793.97,1.03416
801.01,0.0
808.04,0.0
815.08,0.0
822.11,1.52797
829.15,0.0
836.18,0.0
843.22,0.0
850.25,0.0
857.29,0.0
864.32,0.0
871.36,0.0
878.39,0.0
885.43,0.0
892.46,1.03334
899.5,1.734946
906.53,0.0
913.57,0.0
920.6,1.541197
927.64,0.514733
934.67,0.209083
941.71,1.025563
948.74,0.0
955.78,0.0
962.81,0.00922
969.85,0.0
976.88,0.0
983.92,0.236823
990.95,0.734044
997.99,0.867822
1005.03,0.0
1012.06,0.046567
1019.1,0.443768
1026.13,1.22552
1033.17,1.161826
1040.2,0.0
1047.24,0.0
1054.27,0.0
1061.31,0.0
1068.34,0.0
1075.38,0.0
1082.41,0.0
1089.45,1.147143
1096.48,1.830699
1103.52,0.268259
1110.55,0.0
1117.59,0.299465
1124.62,0.869481
1131.66,0.557452
1138.69,0.381052
1145.73,0.0
1152.76,0.0
1159.8,2.679258
1166.83,1.238373
1173.87,0.0
1180.9,1.242542
1187.94,0.0
1194.97,0.327923
1202.01,0.0
1209.05,0.259523
1216.08,0.0
1223.12,0.0
1230.15,0.515337
1237.19,0.661061
1244.22,0.0
1251.26,1.453106
1258.29,0.0
1265.33,0.0
1272.36,0.0
1279.4,0.552564
1286.43,0.0
1293.47,0.0
1300.5,1.204022
1307.54,0.0
1314.57,0.0
1321.61,0.960153
1328.64,0.0
1335.68,2.676128
1342.71,1.557989
1349.75,0.0
1356.78,0.066192
1363.82,0.238587
1370.85,1.006972
1377.89,0.73298
1384.92,0.0
1391.96,0.0
1398.99,1.703549
1406.03,0.0
1413.07,0.0
1420.1,1.493353
1427.14,0.0
1434.17,0.694819
1441.21,1.344338
1448.24,3.031992
1455.28,1.665917
1462.31,0.255555
1469.35,0.0
1476.38,1.740583
1483.42,1.581985
1490.45,2.000375
1497.49,1.974695
1504.52,0.06021
1511.56,0.0
1518.59,0.0
1525.63,0.569561
1532.66,1.085943
1539.7,0.0
1546.73,0.336074
1553.77,1.310752
1560.8,2.081859
1567.84,0.0
1574.87,0.055219
1581.91,0.0
1588.94,0.0
1595.98,1.81732
1603.02,1.618083
1610.05,0.0
1617.09,0.0
1624.12,0.0
1631.16,2.340445
1638.19,0.0
1645.23,0.0
1652.26,0.0
1659.3,0.84974
1666.33,0.0
1673.37,0.0
1680.4,0.331818
1687.44,0.207119
1694.47,0.0
1701.51,0.096994
1708.54,0.330948
1715.58,0.477288
1722.61,1.435552
1729.65,0.89446
1736.68,1.28718
1743.72,0.881777
1750.75,0.650628
1757.79,0.0
1764.82,0.094114
1771.86,0.0
1778.89,1.414968
1785.93,2.578116
1792.96,0.0
1800.0,0.0
