wavenumber,intensity
400.0,0.023317
407.04,0.00642
414.07,0.011229
421.11,0.014066
428.14,0.0
435.18,0.0
442.21,0.0
449.25,0.00618
456.28,0.016963
463.32,0.003077
470.35,0.0
477.39,0.022343
484.42,0.0
491.46,0.0
498.49,0.0
505.53,0.005268
512.56,0.018041
519.6,0.0
526.63,0.0
533.67,0.006585
540.7,0.0
547.74,0.000704
554.77,0.005027
561.81,0.0
568.84,0.0
575.88,0.001853
582.91,0.0
589.95,0.006411
596.98,0.036512
604.02,0.01705
611.06,0.010624
618.09,0.0
625.13,0.018711
632.16,0.0
639.2,0.029401
646.23,0.024374
653.27,0.0
660.3,0.0
667.34,0.006927
674.37,0.005422
681.41,0.0
688.44,0.0
695.48,0.031003
702.51,0.017516
709.55,0.010381
716.58,0.041154
723.62,0.079889
730.65,0.126821
737.69,0.176925
744.72,0.346261
751.76,0.725403
758.79,0.814263
765.83,0.419422
772.86,0.219453
779.9,0.131545
786.93,0.067769
793.97,0.062383
801.01,0.047353
808.04,0.034314
815.08,0.0
822.11,0.016968
829.15,0.010801
836.18,0.032852
843.22,0.007101
850.25,0.016902
857.29,0.013133
864.32,0.027509
871.36,0.019422
878.39,0.02305
885.43,0.02982
892.46,0.021667
899.5,0.019044
906.53,0.003549
913.57,0.009226
920.6,0.040686
927.64,0.00948
934.67,0.017634
941.71,0.010313
948.74,0.009178
955.78,0.0
962.81,0.047117
969.85,0.011598
976.88,0.030941
983.92,0.092371
990.95,0.106402
997.99,0.352406
1005.03,0.694063
1012.06,0.321856
1019.1,0.150162
1026.13,0.060203
1033.17,0.041755
1040.2,0.022851
1047.24,0.031052
1054.27,0.050596
1061.31,0.0
1068.34,0.024439
1075.38,0.0
1082.41,0.003917
1089.45,0.0
1096.48,0.0
1103.52,0.001751
1110.55,0.02062
1117.59,0.012491
1124.62,0.018221
1131.66,0.021831
1138.69,0.0
1145.73,0.038011
1152.76,0.017113
1159.8,0.043273
1166.83,0.054798
1173.87,0.131249
1180.9,0.38802
1187.94,0.41316
1194.97,0.179912
1202.01,0.06697
1209.05,0.052201
1216.08,0.026694
1223.12,0.018405
1230.15,0.0
1237.19,0.005413
1244.22,0.0
1251.26,0.006776
1258.29,0.032192
1265.33,0.0
1272.36,0.0
1279.4,0.002768
1286.43,0.026127
1293.47,0.027755
1300.5,0.010839
1307.54,0.012275
1314.57,0.009834
1321.61,0.006759
1328.64,0.009428
1335.68,0.013261
1342.71,0.023236
1349.75,0.03489
1356.78,0.03769
1363.82,0.08116
1370.85,0.121842
1377.89,0.254726
1384.92,0.553416
1391.96,0.748103
1398.99,0.359073
1406.03,0.168144
1413.07,0.087821
1420.1,0.080782
1427.14,0.037548
1434.17,0.052462
1441.21,0.046062
1448.24,0.031839
1455.28,0.025731
1462.31,0.025918
1469.35,0.014665
1476.38,0.0
1483.42,0.009047
1490.45,0.008091
1497.49,0.012626
1504.52,0.009616
1511.56,0.007046
1518.59,0.028638
1525.63,0.05291
1532.66,0.025283
1539.7,0.020668
1546.73,0.054469
1553.77,0.068146
1560.8,0.111046
1567.84,0.180161
1574.87,0.345417
1581.91,0.658535
1588.94,1.02618
1595.98,0.755604
1603.02,0.396628
1610.05,0.230076
1617.09,0.140746
1624.12,0.119483
1631.16,0.087306
1638.19,0.040517
1645.23,0.00832
1652.26,0.039812
1659.3,0.018789
1666.33,0.041782
1673.37,0.016077
1680.4,0.013175
1687.44,0.0
1694.47,0.011071
1701.51,0.027684
1708.54,0.0
1715.58,0.011289
1722.61,0.0
1729.65,0.020417
1736.68,0.005361
1743.72,0.013877
1750.75,0.009982
1757.79,0.0
1764.82,0.0
1771.86,0.023883
1778.89,0.0
1785.93,0.0
1792.96,0.0
1800.0,0.028104
