wavenumber,intensity
400.0,0.020776
407.04,0.000868
414.07,0.0
421.11,0.0
428.14,0.020563
435.18,0.040449
442.21,0.0
449.25,0.019927
456.28,0.058497
463.32,0.079091
470.35,0.112216
477.39,0.243498
484.42,0.412424
491.46,0.592993
498.49,0.462377
505.53,0.231153
512.56,0.169182
519.6,0.076629
526.63,0.090339
533.67,0.063013
540.7,0.022086
547.74,0.025363
554.77,0.01392
561.81,0.017703
568.84,0.013931
575.88,0.0
582.91,0.019237
589.95,0.016714
596.98,0.0
604.02,0.007431
611.06,0.006946
618.09,0.014789
625.13,0.004087
632.16,0.011955
639.2,0.0
646.23,0.033703
653.27,0.012946
660.3,0.019764
667.34,0.010072
674.37,0.0
681.41,0.018549
688.44,0.018593
695.48,0.0
702.51,0.0
709.55,0.014359
716.58,0.015243
723.62,0.023321
730.65,0.039102
737.69,0.02921
744.72,0.05478
751.76,0.091733
758.79,0.135646
765.83,0.294615
772.86,0.638504
779.9,0.810517
786.93,0.428996
793.97,0.230969
801.01,0.132524
808.04,0.072575
815.08,0.050198
822.11,0.034301
829.15,0.018588
836.18,0.016245
843.22,0.037146
850.25,0.018767
857.29,0.01251
864.32,0.009823
871.36,0.00782
878.39,0.012436
885.43,0.0
892.46,0.022002
899.5,0.016575
906.53,0.004036
913.57,0.002223
920.6,0.0
927.64,0.027031
934.67,0.020045
941.71,0.0
948.74,0.0
955.78,0.016952
962.81,0.023188
969.85,0.028685
976.88,0.017086
983.92,0.032203
990.95,0.036593
997.99,0.044062
1005.03,0.07575
1012.06,0.093415
1019.1,0.159528
1026.13,0.373474
1033.17,0.810738
1040.2,0.83266
1047.24,0.385602
1054.27,0.176185
1061.31,0.100188
1068.34,0.078311
1075.38,0.037288
1082.41,0.050346
1089.45,0.026861
1096.48,0.052255
1103.52,0.001756
1110.55,0.042295
1117.59,0.03216
1124.62,0.001161
1131.66,0.009364
1138.69,0.014396
1145.73,0.042703
1152.76,0.00726
1159.8,0.002856
1166.83,0.008444
1173.87,0.009095
1180.9,0.0
1187.94,0.0
1194.97,0.025695
1202.01,0.035749
1209.05,0.0
1216.08,0.03316
1223.12,0.026431
1230.15,0.002059
1237.19,0.013209
1244.22,0.072723
1251.26,0.066147
1258.29,0.115143
1265.33,0.261331
1272.36,0.645848
1279.4,0.519858
1286.43,0.206017
1293.47,0.090654
1300.5,0.057719
1307.54,0.054708
1314.57,0.006271
1321.61,0.004401
1328.64,0.037401
1335.68,0.015041
1342.71,0.014361
1349.75,0.023396
1356.78,0.019009
1363.82,0.023126
1370.85,0.007514
1377.89,0.029028
1384.92,0.006278
1391.96,0.015411
1398.99,0.002303
1406.03,0.019787
1413.07,0.0
1420.1,0.056336
1427.14,0.0
1434.17,0.0
1441.21,0.0
1448.24,0.0
1455.28,0.003812
1462.31,0.027001
1469.35,0.032126
1476.38,0.056454
1483.42,0.079581
1490.45,0.091571
1497.49,0.153732
1504.52,0.306155
1511.56,0.617789
1518.59,0.619391
1525.63,0.32277
1532.66,0.145152
1539.7,0.114208
1546.73,0.057885
1553.77,0.060556
1560.8,0.048837
1567.84,0.026107
1574.87,0.015437
1581.91,0.026784
1588.94,0.0
1595.98,0.030134
1603.02,0.018369
1610.05,0.022576
1617.09,0.018551
1624.12,0.019871
1631.16,0.020089
1638.19,0.002053
1645.23,0.02177
1652.26,0.0
1659.3,0.0
1666.33,0.0
1673.37,0.005284
1680.4,0.0
1687.44,0.016507
1694.47,0.0
1701.51,0.011055
1708.54,0.01616
1715.58,0.000671
1722.61,0.013339
1729.65,0.002061
1736.68,0.005268
1743.72,0.0
1750.75,0.0
1757.79,0.002396
1764.82,0.0
1771.86,0.029878
1778.89,0.005569
1785.93,0.006414
1792.96,0.0
1800.0,0.002139
