wavenumber,intensity
400.0,0.0
407.04,0.014288
414.07,0.0
421.11,0.005612
428.14,0.0
435.18,0.00065
442.21,0.017015
449.25,0.005975
456.28,0.009005
463.32,0.003255
470.35,0.0
477.39,0.041272
484.42,0.0
491.46,0.00498
498.49,0.030857
505.53,0.0
512.56,0.0
519.6,0.0
526.63,0.0
533.67,0.002244
540.7,0.008453
547.74,0.004108
554.77,0.0
561.81,0.022518
568.84,0.0
575.88,0.0
582.91,0.009717
589.95,0.0
596.98,0.029769
604.02,0.0
611.06,0.029815
618.09,0.023255
625.13,0.015762
632.16,0.043906
639.2,0.032772
646.23,0.059025
653.27,0.075178
660.3,0.130296
667.34,0.31577
674.37,0.558342
681.41,0.742012
688.44,0.464143
695.48,0.225735
702.51,0.105457
709.55,0.073634
716.58,0.043477
723.62,0.041476
730.65,0.019753
737.69,0.013647
744.72,0.016452
751.76,0.013234
758.79,0.014397
765.83,0.003753
772.86,0.036669
779.9,0.010172
786.93,0.035422
793.97,0.017162
801.01,0.0
808.04,0.003761
815.08,0.003848
822.11,0.0
829.15,0.016034
836.18,0.032729
843.22,0.013434
850.25,0.0
857.29,0.034864
864.32,0.0
871.36,0.022606
878.39,0.049938
885.43,0.060466
892.46,0.087885
899.5,0.114203
906.53,0.250159
913.57,0.526022
920.6,0.95453
927.64,0.591334
934.67,0.266177
941.71,0.161821
948.74,0.062685
955.78,0.054741
962.81,0.01825
969.85,0.03594
976.88,0.029456
983.92,0.008857
990.95,0.029443
997.99,0.017839
1005.03,0.0
1012.06,0.053232
1019.1,0.035457
1026.13,0.006974
1033.17,0.028013
1040.2,0.043613
1047.24,0.019703
1054.27,0.021074
1061.31,0.019996
1068.34,0.006153
1075.38,0.014303
1082.41,0.036994
1089.45,0.047215
1096.48,0.057199
1103.52,0.095176
1110.55,0.17653
1117.59,0.419579
1124.62,0.806136
1131.66,0.435819
1138.69,0.189555
1145.73,0.104703
1152.76,0.034418
1159.8,0.02376
1166.83,0.029312
1173.87,0.032746
1180.9,0.0238
1187.94,0.038869
1194.97,0.0
1202.01,0.004732
1209.05,0.047033
1216.08,0.030979
1223.12,0.018222
1230.15,0.037173
1237.19,0.03928
1244.22,0.050413
1251.26,0.064605
1258.29,0.078613
1265.33,0.13787
1272.36,0.26844
1279.4,0.51633
1286.43,0.951121
1293.47,0.72728
1300.5,0.313111
1307.54,0.149261
1314.57,0.123418
1321.61,0.080847
1328.64,0.0177
1335.68,0.02761
1342.71,0.02091
1349.75,0.035152
1356.78,0.015182
1363.82,0.049849
1370.85,0.013092
1377.89,0.021422
1384.92,0.028512
1391.96,0.020836
1398.99,0.0
1406.03,0.03363
1413.07,0.03923
1420.1,0.025108
1427.14,0.027619
1434.17,0.060289
1441.21,0.128533
1448.24,0.180944
1455.28,0.31175
1462.31,0.536404
1469.35,0.633292
1476.38,0.386719
1483.42,0.206746
1490.45,0.11118
1497.49,0.084095
1504.52,0.054761
1511.56,0.023432
1518.59,0.034574
1525.63,0.020954
1532.66,0.03821
1539.7,0.005039
1546.73,0.0
1553.77,0.021398
1560.8,0.008171
1567.84,0.00731
1574.87,0.004232
1581.91,0.005871
1588.94,0.023756
1595.98,0.02993
1603.02,0.016456
1610.05,0.022125
1617.09,0.0
1624.12,0.0
1631.16,0.0
1638.19,0.008716
1645.23,0.0
1652.26,0.0
1659.3,0.014995
1666.33,0.022443
1673.37,0.0
1680.4,0.032386
1687.44,0.021747
1694.47,0.0
1701.51,0.001225
1708.54,0.019985
1715.58,0.0
1722.61,0.0
1729.65,0.007393
1736.68,0.028678
1743.72,0.0
1750.75,0.001097
1757.79,0.0
1764.82,0.0
1771.86,0.025773
1778.89,0.020395
1785.93,0.0
1792.96,0.00015
1800.0,0.011516
