wavenumber,intensity
400.0,0.285248
407.04,0.129019
414.07,0.287285
421.11,0.008692
428.14,0.011342
435.18,0.0
442.21,0.0
449.25,0.112944
456.28,0.0
463.32,0.215128
470.35,0.0
477.39,0.0
484.42,0.0
491.46,0.0
498.49,0.0
505.53,0.0
512.56,0.0
519.6,0.0
526.63,0.0
533.67,0.254827
540.7,0.0
547.74,0.230688
554.77,0.023086
561.81,0.0
568.84,0.468587
575.88,0.110495
582.91,0.473555
589.95,0.277304
596.98,0.0
604.02,0.324698
611.06,0.1858
618.09,0.0
625.13,0.450242
632.16,0.63484
639.2,0.93409
646.23,0.517728
653.27,0.0
660.3,0.0
667.34,0.222453
674.37,0.0
681.41,0.0
688.44,0.316097
695.48,0.0
702.51,0.461552
709.55,0.374602
716.58,0.042939
723.62,0.480668
730.65,0.0
737.69,0.0
744.72,0.0
751.76,0.0
758.79,0.0
765.83,0.0
772.86,0.0
779.9,0.175364
786.93,0.444703
793.97,0.064488
801.01,0.0
808.04,0.0
815.08,0.0
822.11,0.0
829.15,0.016621
836.18,0.0
843.22,0.551032
850.25,0.0
857.29,0.055109
864.32,0.286393
871.36,0.419477
878.39,0.695096
885.43,0.003441
892.46,0.424298
899.5,0.097599
906.53,0.0
913.57,0.054911
920.6,0.253598
927.64,0.0
934.67,0.101938
941.71,0.0
948.74,0.913587
955.78,0.0
962.81,0.349872
969.85,0.558374
976.88,0.249025
983.92,0.214674
990.95,0.289429
997.99,0.0
1005.03,0.042571
1012.06,0.013381
1019.1,0.699931
1026.13,0.0
1033.17,0.32284
1040.2,0.0
1047.24,0.0
1054.27,0.519297
1061.31,0.47402
1068.34,0.174059
1075.38,0.169854
1082.41,0.248126
1089.45,0.117079
1096.48,0.0
1103.52,1.060365
1110.55,0.960304
1117.59,0.055958
1124.62,0.0
1131.66,0.156682
1138.69,0.937411
1145.73,0.779421
1152.76,0.219469
1159.8,0.0
1166.83,0.0
1173.87,0.0
1180.9,0.0
1187.94,0.175232
1194.97,0.292297
1202.01,0.0
1209.05,0.0
1216.08,0.161541
1223.12,0.0
1230.15,0.160658
1237.19,0.037794
1244.22,0.257079
1251.26,0.0
1258.29,0.298299
1265.33,0.331554
1272.36,0.0
1279.4,0.0
1286.43,0.0
1293.47,0.14157
1300.5,0.760395
1307.54,0.112607
1314.57,0.0
1321.61,0.0
1328.64,0.36223
1335.68,0.554987
1342.71,0.498986
1349.75,0.0
1356.78,0.035337
1363.82,0.06997
1370.85,0.385712
1377.89,0.280585
1384.92,0.257975
1391.96,0.206572
1398.99,0.265917
1406.03,0.057236
1413.07,0.0
1420.1,0.0
1427.14,0.304841
1434.17,0.035485
1441.21,0.0
1448.24,0.223702
1455.28,0.0
1462.31,0.015967
1469.35,0.11129
1476.38,0.262707
1483.42,0.190833
1490.45,0.0
1497.49,0.0
1504.52,0.0
1511.56,0.0
1518.59,0.0
1525.63,0.0
1532.66,0.407272
1539.7,0.0
1546.73,0.25044
1553.77,0.0
1560.8,0.114302
1567.84,0.0
1574.87,0.0
1581.91,0.356285
1588.94,0.204115
1595.98,0.509468
1603.02,0.376974
1610.05,0.0
1617.09,0.421244
1624.12,1.085788
1631.16,0.873862
1638.19,0.336491
1645.23,0.0
1652.26,0.0
1659.3,0.204009
1666.33,0.340694
1673.37,0.284636
1680.4,0.663093
1687.44,0.0
1694.47,0.067783
1701.51,0.0
1708.54,0.0
1715.58,0.0
1722.61,0.0
1729.65,0.246817
1736.68,0.0
1743.72,0.0
1750.75,0.269751
1757.79,0.0
1764.82,0.36641
1771.86,0.0
1778.89,0.0
1785.93,0.370235
1792.96,0.457817
1800.0,0.0
