wavenumber,intensity
400.0,0.015929
407.04,0.008203
414.07,0.021241
421.11,0.018133
428.14,0.0
435.18,0.002028
442.21,0.026036
449.25,0.009492
456.28,0.016681
463.32,0.023223
470.35,0.0
477.39,0.0
484.42,0.01649
491.46,0.0
498.49,0.0
505.53,0.0
512.56,0.005802
519.6,0.014584
526.63,0.0
533.67,0.014954
540.7,0.011072
547.74,0.0
554.77,0.0
561.81,0.036953
568.84,0.002699
575.88,0.00831
582.91,0.017657
589.95,0.00992
596.98,0.063729
604.02,0.110177
611.06,0.151948
618.09,0.271309
625.13,0.558992
632.16,0.893499
639.2,0.539454
646.23,0.259317
653.27,0.137549
660.3,0.100215
667.34,0.038801
674.37,0.02558
681.41,0.016002
688.44,0.024179
695.48,0.045091
702.51,0.011038
709.55,0.0
716.58,0.00692
723.62,0.017147
730.65,0.018289
737.69,0.040367
744.72,0.027213
751.76,0.011285
758.79,0.003802
765.83,0.003471
772.86,0.0
779.9,0.000759
786.93,0.0
793.97,0.007558
801.01,0.016595
808.04,0.018455
815.08,0.029821
822.11,0.01621
829.15,0.013823
836.18,0.0
843.22,0.054843
850.25,0.072443
857.29,0.109217
864.32,0.207035
871.36,0.42943
878.39,0.770178
885.43,0.398884
892.46,0.171753
899.5,0.08512
906.53,0.042034
913.57,0.048878
920.6,0.043688
927.64,0.005684
934.67,0.0
941.71,0.036952
948.74,0.0
955.78,0.0
962.81,0.015514
969.85,0.019802
976.88,0.0
983.92,0.0
990.95,0.007175
997.99,0.042099
1005.03,0.030508
1012.06,0.003556
1019.1,0.033267
1026.13,0.00663
1033.17,0.004159
1040.2,0.015195
1047.24,0.0
1054.27,0.005312
1061.31,0.000882
1068.34,0.019529
1075.38,0.039466
1082.41,0.065556
1089.45,0.092844
1096.48,0.212997
1103.52,0.504178
1110.55,0.980223
1117.59,0.493842
1124.62,0.178756
1131.66,0.08631
1138.69,0.044126
1145.73,0.007125
1152.76,0.020825
1159.8,0.026208
1166.83,0.018188
1173.87,0.029522
1180.9,0.020679
1187.94,0.043665
1194.97,0.007913
1202.01,0.0
1209.05,0.0
1216.08,0.004281
1223.12,0.0
1230.15,0.008422
1237.19,0.016508
1244.22,0.015092
1251.26,0.039043
1258.29,0.025729
1265.33,0.0
1272.36,0.022549
1279.4,0.028652
1286.43,0.017044
1293.47,0.044133
1300.5,0.034152
1307.54,0.014631
1314.57,0.055573
1321.61,0.100684
1328.64,0.199037
1335.68,0.446087
1342.71,0.651802
1349.75,0.378695
1356.78,0.202252
1363.82,0.120666
1370.85,0.021359
1377.89,0.039374
1384.92,0.018096
1391.96,0.022543
1398.99,0.015885
1406.03,0.032285
1413.07,0.005503
1420.1,0.002133
1427.14,0.010234
1434.17,0.007401
1441.21,0.004437
1448.24,0.0
1455.28,0.028128
1462.31,0.028152
1469.35,0.008604
1476.38,0.0
1483.42,0.032074
1490.45,0.014263
1497.49,0.015136
1504.52,0.00649
1511.56,0.035321
1518.59,0.004215
1525.63,0.013417
1532.66,0.019338
1539.7,0.012341
1546.73,0.006081
1553.77,0.016744
1560.8,0.068297
1567.84,0.044338
1574.87,0.055301
1581.91,0.027822
1588.94,0.073345
1595.98,0.135296
1603.02,0.21704
1610.05,0.400657
1617.09,0.715529
1624.12,0.812248
1631.16,0.517541
1638.19,0.263083
1645.23,0.164281
1652.26,0.091219
1659.3,0.06565
1666.33,0.048395
1673.37,0.04423
1680.4,0.045101
1687.44,0.030524
1694.47,0.001034
1701.51,0.02708
1708.54,0.035579
1715.58,0.0
1722.61,0.026459
1729.65,0.027267
1736.68,0.0
1743.72,0.0
1750.75,0.01892
1757.79,0.006957
1764.82,0.034205
1771.86,0.0
1778.89,0.011498
1785.93,0.011053
1792.96,0.010317
1800.0,0.015568
