wavenumber,intensity
400.0,0.00485
407.04,0.022207
414.07,0.019565
421.11,0.029125
428.14,0.008256
435.18,0.025633
442.21,0.021101
449.25,0.001882
456.28,0.033717
463.32,0.006596
470.35,0.0
477.39,0.009836
484.42,0.007479
491.46,0.01717
498.49,0.046614
505.53,0.041354
512.56,0.087146
519.6,0.082671
526.63,0.148436
533.67,0.243958
540.7,0.424922
547.74,0.654433
554.77,0.481535
561.81,0.271979
568.84,0.125011
575.88,0.108156
582.91,0.082594
589.95,0.031657
596.98,0.041274
604.02,0.049159
611.06,0.0
618.09,0.027823
625.13,0.0
632.16,0.018503
639.2,0.03874
646.23,0.007248
653.27,0.021482
660.3,0.0
667.34,0.0
674.37,0.001774
681.41,0.023163
688.44,0.00471
695.48,0.021855
702.51,0.007373
709.55,0.0
716.58,0.01067
723.62,0.012622
730.65,0.00376
737.69,0.021254
744.72,0.0
751.76,0.012076
758.79,0.018923
765.83,0.0
772.86,0.009203
779.9,0.009169
786.93,0.0
793.97,0.036816
801.01,0.006571
808.04,0.022323
815.08,0.0
822.11,0.034005
829.15,0.008056
836.18,0.002823
843.22,0.021037
850.25,0.046051
857.29,0.012304
864.32,0.075697
871.36,0.068933
878.39,0.173853
885.43,0.309529
892.46,0.671519
899.5,0.887904
906.53,0.459137
913.57,0.218025
920.6,0.131844
927.64,0.069604
934.67,0.050495
941.71,0.018894
948.74,0.039097
955.78,0.063916
962.81,0.035069
969.85,0.021718
976.88,0.0
983.92,0.007727
990.95,0.029758
997.99,0.00772
1005.03,0.018542
1012.06,0.000247
1019.1,0.0
1026.13,0.00857
1033.17,0.0
1040.2,0.0
1047.24,0.008627
1054.27,0.0
1061.31,0.0
1068.34,0.015605
1075.38,0.029378
1082.41,0.009247
1089.45,0.0
1096.48,0.0
1103.52,0.0
1110.55,0.003984
1117.59,0.023239
1124.62,0.009848
1131.66,0.008611
1138.69,0.0
1145.73,0.019563
1152.76,0.01093
1159.8,0.063065
1166.83,0.055915
1173.87,0.078263
1180.9,0.173337
1187.94,0.339854
1194.97,0.701728
1202.01,0.619462
1209.05,0.296615
1216.08,0.125808
1223.12,0.087323
1230.15,0.032231
1237.19,0.028173
1244.22,0.021784
1251.26,0.006546
1258.29,0.0
1265.33,0.032011
1272.36,0.008058
1279.4,0.034873
1286.43,0.024319
1293.47,0.016876
1300.5,0.024289
1307.54,0.010643
1314.57,0.015794
1321.61,0.024959
1328.64,0.026878
1335.68,0.016812
1342.71,0.047988
1349.75,0.049571
1356.78,0.083082
1363.82,0.07284
1370.85,0.161249
1377.89,0.20362
1384.92,0.389108
1391.96,0.745079
1398.99,0.969603
1406.03,0.607441
1413.07,0.328662
1420.1,0.19723
1427.14,0.107483
1434.17,0.101475
1441.21,0.075402
1448.24,0.036333
1455.28,0.05952
1462.31,0.032267
1469.35,0.0062
1476.38,0.035884
1483.42,0.026548
1490.45,0.017592
1497.49,0.005283
1504.52,0.017107
1511.56,0.046554
1518.59,0.021947
1525.63,0.016539
1532.66,0.025649
1539.7,0.068678
1546.73,0.093273
1553.77,0.074383
1560.8,0.124764
1567.84,0.222633
1574.87,0.375436
1581.91,0.601079
1588.94,0.754566
1595.98,0.563001
1603.02,0.29933
1610.05,0.179407
1617.09,0.12099
1624.12,0.090123
1631.16,0.05959
1638.19,0.026655
1645.23,0.035397
1652.26,0.042812
1659.3,0.00698
1666.33,0.006122
1673.37,0.006566
1680.4,0.04265
1687.44,0.009486
1694.47,0.0
1701.51,0.031412
1708.54,0.025762
1715.58,0.002885
1722.61,0.012526
1729.65,0.009887
1736.68,0.016498
1743.72,0.003887
1750.75,0.008803
1757.79,0.0
1764.82,0.006211
1771.86,0.013228
1778.89,0.006816
1785.93,0.0
1792.96,0.0
1800.0,0.008328
