wavenumber,intensity
400.0,0.0
407.04,0.0
414.07,2.660013
421.11,0.0
428.14,0.0
435.18,0.363671
442.21,0.188432
449.25,0.829219
456.28,0.0
463.32,1.789669
470.35,0.748916
477.39,3.106707
484.42,0.711632
491.46,0.337222
498.49,1.745405
505.53,1.090585
512.56,0.0
519.6,1.009129
526.63,0.0
533.67,1.518926
540.7,0.0
547.74,0.466684
554.77,0.0
561.81,0.435447
568.84,1.715762
575.88,1.434216
582.91,0.0
589.95,0.0
596.98,0.890395
604.02,0.0
611.06,0.0
618.09,0.86722
625.13,0.0
632.16,1.008875
639.2,1.341194
646.23,0.056958
653.27,0.0
660.3,0.0
667.34,1.858904
674.37,0.259418
681.41,1.54734
688.44,0.094997
695.48,0.185196
702.51,0.265368
709.55,0.190609
716.58,0.406195
723.62,1.070225
730.65,1.486495
737.69,0.0
744.72,0.0
751.76,0.0
758.79,0.0
765.83,0.0
772.86,0.039634
779.9,0.0
786.93,2.271803
793.97,0.0
801.01,0.0
808.04,0.573951
815.08,0.136874
822.11,1.307722
829.15,0.730753
836.18,3.30153
843.22,0.0
850.25,0.586691
857.29,0.0
864.32,0.0
871.36,0.0
878.39,0.810594
885.43,0.0
892.46,0.50015
899.5,0.598272
906.53,0.533013
913.57,0.0
920.6,1.028255
927.64,0.0
934.67,0.513142
941.71,0.0
948.74,2.409351
955.78,0.0
962.81,0.0
969.85,0.38738
976.88,0.0
983.92,0.0
990.95,0.0
997.99,0.337419
1005.03,0.0
1012.06,2.20613
1019.1,2.381887
1026.13,1.526121
1033.17,0.003542
1040.2,0.815261
1047.24,2.577554
1054.27,2.193509
1061.31,0.859309
1068.34,0.0
1075.38,1.445209
1082.41,0.992197
1089.45,0.147671
1096.48,0.0
1103.52,0.0
1110.55,0.0
1117.59,0.0
1124.62,0.408567
1131.66,0.308509
1138.69,0.0
1145.73,0.0
1152.76,1.774175
1159.8,0.0
1166.83,0.0
1173.87,0.0
1180.9,2.900374
1187.94,0.261006
1194.97,2.017077
1202.01,1.063691
1209.05,0.0
1216.08,0.833328
1223.12,0.30781
1230.15,0.639376
1237.19,0.288948
1244.22,0.810408
1251.26,0.764155
1258.29,0.0
1265.33,0.960588
1272.36,0.0
1279.4,0.0
1286.43,0.0
1293.47,0.0
1300.5,0.0
1307.54,0.0
1314.57,1.054669
1321.61,1.088522
1328.64,0.0
1335.68,1.643804
1342.71,0.0
1349.75,0.0
1356.78,0.0
1363.82,0.531847
1370.85,0.0
1377.89,0.339803
1384.92,3.599649
1391.96,1.169047
1398.99,0.0
1406.03,0.0
1413.07,0.0
1420.1,0.0
1427.14,0.0
1434.17,0.0
1441.21,0.296779
1448.24,0.0
1455.28,3.172439
1462.31,0.573483
1469.35,1.592816
1476.38,0.629349
1483.42,0.0
1490.45,0.346228
1497.49,0.0
1504.52,0.0
1511.56,0.0
1518.59,0.0
1525.63,1.727987
1532.66,0.716752
1539.7,0.0
1546.73,1.726543
1553.77,0.0
1560.8,0.0
1567.84,0.364535
1574.87,0.0
1581.91,0.0
1588.94,0.0
1595.98,0.0
1603.02,0.0
1610.05,0.543831
1617.09,1.214736
1624.12,0.610435
1631.16,2.193494
1638.19,0.787165
1645.23,0.549716
1652.26,0.297318
1659.3,0.704102
1666.33,0.0
1673.37,0.0
1680.4,0.0
1687.44,0.0
1694.47,0.0
1701.51,0.327479
1708.54,0.955503
1715.58,2.142972
1722.61,0.313077
1729.65,0.0
1736.68,0.0
1743.72,0.086486
1750.75,0.0
1757.79,0.0
1764.82,0.0
1771.86,2.443259
1778.89,1.324148
1785.93,0.0
1792.96,0.0
1800.0,0.091628
