wavenumber,intensity
400.0,0.0
407.04,0.010722
414.07,0.006601
421.11,0.0
428.14,0.001144
435.18,0.004195
442.21,0.002093
449.25,0.001963
456.28,0.010613
463.32,0.015671
470.35,0.023706
477.39,0.0
484.42,0.0
491.46,0.011331
498.49,0.0
505.53,0.0
512.56,0.026611
519.6,0.013708
526.63,0.0
533.67,0.0
540.7,0.007026
547.74,0.003866
554.77,0.007982
561.81,0.0
568.84,0.0
575.88,0.0
582.91,0.015718
589.95,0.004556
596.98,0.0
604.02,0.006224
611.06,0.005909
618.09,0.012376
625.13,0.001787
632.16,0.006596
639.2,0.0
646.23,0.0
653.27,0.0
660.3,0.003999
667.34,0.0
674.37,0.0
681.41,0.0
688.44,0.0
695.48,0.013806
702.51,0.0
709.55,0.0
716.58,0.0
723.62,0.007089
730.65,0.022484
737.69,0.013085
744.72,0.0
751.76,0.0
758.79,0.033672
765.83,0.015321
772.86,0.011995
779.9,0.025596
786.93,0.034285
793.97,0.05891
801.01,0.049898
808.04,0.060089
815.08,0.103121
822.11,0.238642
829.15,0.509565
836.18,0.992489
843.22,0.630777
850.25,0.252423
857.29,0.159342
864.32,0.075532
871.36,0.048849
878.39,0.032425
885.43,0.029209
892.46,0.015653
899.5,0.011546
906.53,0.023105
913.57,0.031072
920.6,0.020626
927.64,0.0
934.67,0.001752
941.71,0.027574
948.74,0.005884
955.78,0.007314
962.81,0.001719
969.85,0.02743
976.88,0.0
983.92,0.0
990.95,0.019299
997.99,0.0
1005.03,0.0
1012.06,0.041253
1019.1,0.003218
1026.13,0.009105
1033.17,0.0
1040.2,0.001368
1047.24,0.0
1054.27,0.0
1061.31,0.0
1068.34,0.00514
1075.38,0.0
1082.41,0.019254
1089.45,0.0
1096.48,0.0
1103.52,0.016618
1110.55,0.012283
1117.59,0.028989
1124.62,0.002371
1131.66,0.026719
1138.69,0.022868
1145.73,0.001458
1152.76,0.002439
1159.8,0.073113
1166.83,0.095386
1173.87,0.170625
1180.9,0.453959
1187.94,0.663034
1194.97,0.25421
1202.01,0.108997
1209.05,0.080449
1216.08,0.029981
1223.12,0.022167
1230.15,0.015874
1237.19,0.029361
1244.22,0.034465
1251.26,0.037333
1258.29,0.008396
1265.33,0.018384
1272.36,0.0
1279.4,0.0
1286.43,0.000408
1293.47,0.017849
1300.5,0.0
1307.54,0.006284
1314.57,0.034661
1321.61,0.021396
1328.64,0.026835
1335.68,0.0
1342.71,0.011083
1349.75,0.0
1356.78,0.031199
1363.82,0.002046
1370.85,0.00224
1377.89,0.0
1384.92,0.015101
1391.96,0.035214
1398.99,0.014764
1406.03,0.016585
1413.07,0.015735
1420.1,0.04692
1427.14,0.042918
1434.17,0.068815
1441.21,0.102663
1448.24,0.201123
1455.28,0.486548
1462.31,0.863304
1469.35,0.416986
1476.38,0.186735
1483.42,0.095602
1490.45,0.068651
1497.49,0.061603
1504.52,0.02283
1511.56,0.017354
1518.59,0.003277
1525.63,0.013452
1532.66,0.039826
1539.7,0.013096
1546.73,0.043675
1553.77,0.027972
1560.8,0.029278
1567.84,0.041873
1574.87,0.046043
1581.91,0.083612
1588.94,0.127869
1595.98,0.215216
1603.02,0.495898
1610.05,0.636032
1617.09,0.32894
1624.12,0.13449
1631.16,0.114535
1638.19,0.09017
1645.23,0.036027
1652.26,0.047762
1659.3,0.057994
1666.33,0.055314
1673.37,0.064602
1680.4,0.045949
1687.44,0.106388
1694.47,0.129487
1701.51,0.214214
1708.54,0.423928
1715.58,0.814991
1722.61,0.907392
1729.65,0.485535
1736.68,0.260715
1743.72,0.124761
1750.75,0.106834
1757.79,0.053038
1764.82,0.035927
1771.86,0.04819
1778.89,0.032955
1785.93,0.012157
1792.96,0.029608
1800.0,0.043381
