wavenumber,intensity
400.0,0.229477
407.04,0.069988
414.07,0.0
421.11,0.0
428.14,0.179866
435.18,0.0
442.21,0.380829
449.25,0.032567
456.28,0.037473
463.32,0.061633
470.35,0.0
477.39,0.3909
484.42,0.250508
491.46,0.652762
498.49,0.0
505.53,0.532842
512.56,0.0
519.6,0.153695
526.63,0.0
533.67,0.252387
540.7,0.0
547.74,0.120662
554.77,0.264718
561.81,0.355042
568.84,0.714571
575.88,1.06377
582.91,0.866728
589.95,0.066996
596.98,0.247753
604.02,0.0
611.06,0.149123
618.09,0.565626
625.13,0.173926
632.16,0.0
639.2,0.288985
646.23,0.365147
653.27,0.06152
660.3,0.594147
667.34,0.0
674.37,0.0
681.41,0.22511
688.44,0.0
695.48,0.0
702.51,0.247088
709.55,0.0
716.58,0.70808
723.62,0.445277
730.65,0.349917
737.69,0.36271
744.72,0.0
751.76,0.0
758.79,0.509971
765.83,0.227339
772.86,0.0
779.9,0.0
786.93,0.360719
793.97,0.443566
801.01,0.021542
808.04,0.0
815.08,0.514158
822.11,0.407651
829.15,0.084418
836.18,0.288411
843.22,0.289198
850.25,0.696012
857.29,0.111084
864.32,0.170235
871.36,0.529023
878.39,1.007178
885.43,0.529445
892.46,0.0
899.5,0.0
906.53,0.059762
913.57,0.0
920.6,0.28696
927.64,0.0
934.67,0.424495
941.71,0.140079
948.74,0.0
955.78,0.056149
962.81,0.267016
969.85,0.0
976.88,0.0
983.92,0.071228
990.95,0.857996
997.99,0.080306
1005.03,0.484302
1012.06,0.0
1019.1,0.192078
1026.13,0.06612
1033.17,0.040641
1040.2,0.046294
1047.24,0.117484
1054.27,0.0
1061.31,0.276802
1068.34,0.057792
1075.38,0.0
1082.41,0.114127
1089.45,0.0
1096.48,0.0
1103.52,0.06001
1110.55,0.0
1117.59,0.0
1124.62,0.221302
1131.66,0.083423
1138.69,0.083012
1145.73,0.595458
1152.76,0.064626
1159.8,0.402669
1166.83,1.017339
1173.87,1.139341
1180.9,0.647612
1187.94,0.281164
1194.97,0.106189
1202.01,0.126084
1209.05,0.512281
1216.08,0.200047
1223.12,0.0
1230.15,0.069248
1237.19,0.0
1244.22,0.0
1251.26,0.145886
1258.29,0.045559
1265.33,0.556344
1272.36,0.0
1279.4,0.178148
1286.43,0.0
1293.47,0.0
1300.5,0.823947
1307.54,0.220341
1314.57,0.053655
1321.61,0.0
1328.64,0.176699
1335.68,0.0
1342.71,0.141805
1349.75,0.054949
1356.78,0.0
1363.82,0.103396
1370.85,0.080469
1377.89,0.263473
1384.92,0.734483
1391.96,0.464224
1398.99,0.159817
1406.03,0.04568
1413.07,0.483225
1420.1,0.0
1427.14,0.0
1434.17,0.141099
1441.21,0.0
1448.24,0.149186
1455.28,0.345791
1462.31,0.132398
1469.35,0.789679
1476.38,0.0
1483.42,0.0
1490.45,0.0
1497.49,0.082864
1504.52,0.0
1511.56,0.0
1518.59,0.0
1525.63,0.233663
1532.66,0.311293
1539.7,0.0
1546.73,0.400062
1553.77,0.0
1560.8,0.087916
1567.84,0.613803
1574.87,0.454343
1581.91,0.84651
1588.94,0.088155
1595.98,0.047189
1603.02,0.393338
1610.05,0.391215
1617.09,0.56631
1624.12,0.0
1631.16,0.0
1638.19,0.0
1645.23,0.0
1652.26,0.199938
1659.3,0.0
1666.33,0.611628
1673.37,0.424531
1680.4,0.535642
1687.44,0.0
1694.47,0.0
1701.51,0.0
1708.54,0.121964
1715.58,0.0
1722.61,0.0
1729.65,0.0
1736.68,0.0
1743.72,0.633639
1750.75,0.351501
1757.79,0.0
1764.82,0.0
1771.86,0.226097
1778.89,0.183102
1785.93,0.0
1792.96,0.407238
1800.0,0.0
