wavenumber,intensity
400.0,0.000658
407.04,0.020453
414.07,0.015389
421.11,0.01051
428.14,0.00613
435.18,0.005475
442.21,0.003338
449.25,0.012759
456.28,0.0
463.32,0.029644
470.35,0.028004
477.39,0.013207
484.42,0.027416
491.46,0.031322
498.49,0.012383
505.53,0.005451
512.56,0.032857
519.6,0.00418
526.63,0.043779
533.67,0.046619
540.7,0.044185
547.74,0.047414
554.77,0.131454
561.81,0.232069
568.84,0.442145
575.88,0.728747
582.91,0.651203
589.95,0.334346
596.98,0.175219
604.02,0.091217
611.06,0.045254
618.09,0.068377
625.13,0.03545
632.16,0.005976
639.2,0.038942
646.23,0.000666
653.27,0.023772
660.3,0.0
667.34,0.007684
674.37,0.007927
681.41,0.037747
688.44,0.0
695.48,0.0
702.51,0.025094
709.55,0.025441
716.58,0.009571
723.62,0.0
730.65,0.0
737.69,0.0
744.72,0.022547
751.76,0.018556
758.79,0.021711
765.83,0.021997
772.86,0.017756
779.9,0.02641
786.93,0.0
793.97,0.043295
801.01,0.021705
808.04,0.009376
815.08,0.008085
822.11,0.026012
829.15,0.049771
836.18,0.05898
843.22,0.090961
850.25,0.144952
857.29,0.200717
864.32,0.390986
871.36,0.8043
878.39,0.923131
885.43,0.471784
892.46,0.228929
899.5,0.145416
906.53,0.062444
913.57,0.09107
920.6,0.029663
927.64,0.016823
934.67,0.015614
941.71,0.005173
948.74,0.01875
955.78,0.016954
962.81,0.040905
969.85,0.005608
976.88,0.026905
983.92,0.020545
990.95,0.015178
997.99,0.0
1005.03,0.014527
1012.06,0.00999
1019.1,0.0
1026.13,0.01915
1033.17,0.026351
1040.2,0.017717
1047.24,0.006741
1054.27,0.0
1061.31,0.015252
1068.34,0.0
1075.38,0.014672
1082.41,0.0
1089.45,0.0
1096.48,0.018142
1103.52,0.003418
1110.55,0.0
1117.59,0.034044
1124.62,0.029078
1131.66,0.038754
1138.69,0.018404
1145.73,0.060465
1152.76,0.117798
1159.8,0.226963
1166.83,0.530201
1173.87,0.627291
1180.9,0.253368
1187.94,0.093793
1194.97,0.061887
1202.01,0.032792
1209.05,0.010554
1216.08,0.035947
1223.12,0.001079
1230.15,0.032761
1237.19,0.000909
1244.22,0.006032
1251.26,0.00668
1258.29,0.017741
1265.33,0.002297
1272.36,0.00862
1279.4,0.012493
1286.43,0.0
1293.47,0.0
1300.5,0.0
1307.54,0.0
1314.57,0.035418
1321.61,0.001932
1328.64,0.021469
1335.68,0.00442
1342.71,0.046196
1349.75,0.038871
1356.78,0.06309
1363.82,0.08044
1370.85,0.188785
1377.89,0.438335
1384.92,0.493488
1391.96,0.220904
1398.99,0.104199
1406.03,0.056519
1413.07,0.03128
1420.1,0.018369
1427.14,0.004964
1434.17,0.010944
1441.21,0.016806
1448.24,0.027854
1455.28,0.011277
1462.31,0.0
1469.35,0.0
1476.38,0.0
1483.42,0.0
1490.45,0.025432
1497.49,0.034419
1504.52,0.031852
1511.56,0.011857
1518.59,0.008718
1525.63,0.046598
1532.66,0.002172
1539.7,0.052348
1546.73,0.045037
1553.77,0.125665
1560.8,0.218818
1567.84,0.459084
1574.87,0.804335
1581.91,0.775983
1588.94,0.404799
1595.98,0.201175
1603.02,0.119567
1610.05,0.050659
1617.09,0.04053
1624.12,0.039131
1631.16,0.033649
1638.19,0.038452
1645.23,0.033227
1652.26,0.01943
1659.3,0.010207
1666.33,0.000506
1673.37,0.017665
1680.4,0.0
1687.44,0.015698
1694.47,0.0
1701.51,0.006266
1708.54,0.024468
1715.58,0.0
1722.61,0.011059
1729.65,0.0
1736.68,0.0
1743.72,0.001374
1750.75,0.031697
1757.79,0.022835
1764.82,0.0
1771.86,0.0
1778.89,0.005609
1785.93,0.0
1792.96,0.0
1800.0,0.003765
