wavenumber,intensity
400.0,0.0
407.04,0.001119
414.07,0.0
421.11,0.0
428.14,0.0
435.18,0.007738
442.21,0.012373
449.25,0.007822
456.28,0.0
463.32,0.0
470.35,0.017257
477.39,0.024319
484.42,0.014415
491.46,0.0
498.49,0.016514
505.53,0.03881
512.56,0.0
519.6,0.019635
526.63,0.0
533.67,0.0
540.7,0.035066
547.74,0.0
554.77,0.0
561.81,0.0
568.84,0.008254
575.88,0.0
582.91,0.0
589.95,0.007448
596.98,0.0
604.02,0.037716
611.06,0.001361
618.09,0.0
625.13,0.014261
632.16,0.0
639.2,0.0
646.23,0.0
653.27,0.004778
660.3,0.016944
667.34,0.0
674.37,0.001246
681.41,0.0
688.44,0.0
695.48,0.025952
702.51,0.0
709.55,0.0
716.58,0.0
723.62,0.001083
730.65,0.044622
737.69,0.073624
744.72,0.070825
751.76,0.177128
758.79,0.325636
765.83,0.591428
772.86,0.64818
779.9,0.343208
786.93,0.196394
793.97,0.107869
801.01,0.068213
808.04,0.034375
815.08,0.027249
822.11,0.056411
829.15,0.018231
836.18,0.031388
843.22,0.0
850.25,0.017928
857.29,0.03645
864.32,0.018265
871.36,0.015588
878.39,0.002378
885.43,0.018012
892.46,0.027696
899.5,0.013804
906.53,0.016156
913.57,0.009299
920.6,0.013927
927.64,0.046087
934.67,0.0
941.71,0.011419
948.74,0.0
955.78,0.032367
962.81,0.007061
969.85,0.029505
976.88,0.016465
983.92,0.06294
990.95,0.075059
997.99,0.087703
1005.03,0.135074
1012.06,0.243515
1019.1,0.503335
1026.13,0.974741
1033.17,0.744353
1040.2,0.341817
1047.24,0.170739
1054.27,0.109337
1061.31,0.041412
1068.34,0.066713
1075.38,0.044731
1082.41,0.036231
1089.45,0.029523
1096.48,0.027593
1103.52,0.029388
1110.55,0.030165
1117.59,0.016592
1124.62,0.0
1131.66,0.038323
1138.69,0.024543
1145.73,0.028108
1152.76,0.064176
1159.8,0.06514
1166.83,0.059223
1173.87,0.113403
1180.9,0.185783
1187.94,0.413465
1194.97,0.813988
1202.01,0.433833
1209.05,0.18719
1216.08,0.074164
1223.12,0.042574
1230.15,0.034287
1237.19,0.044351
1244.22,0.043692
1251.26,0.027402
1258.29,0.027066
1265.33,0.003317
1272.36,0.023892
1279.4,0.02438
1286.43,0.034245
1293.47,0.003373
1300.5,0.025375
1307.54,0.049512
1314.57,0.054123
1321.61,0.068803
1328.64,0.095854
1335.68,0.144761
1342.71,0.273873
1349.75,0.671103
1356.78,0.759071
1363.82,0.367464
1370.85,0.164124
1377.89,0.119917
1384.92,0.071577
1391.96,0.028615
1398.99,0.04771
1406.03,0.028875
1413.07,0.034021
1420.1,0.028069
1427.14,0.021067
1434.17,0.029409
1441.21,0.047711
1448.24,0.0561
1455.28,0.063618
1462.31,0.093515
1469.35,0.14161
1476.38,0.297088
1483.42,0.488855
1490.45,0.572712
1497.49,0.396484
1504.52,0.200095
1511.56,0.119876
1518.59,0.044043
1525.63,0.035025
1532.66,0.035622
1539.7,0.048761
1546.73,0.052717
1553.77,0.013895
1560.8,0.024326
1567.84,0.016473
1574.87,0.037527
1581.91,0.004612
1588.94,0.03063
1595.98,0.0
1603.02,0.0
1610.05,0.020911
1617.09,0.0
1624.12,0.006146
1631.16,0.008928
1638.19,0.014167
1645.23,0.005984
1652.26,0.011019
1659.3,0.007971
1666.33,0.0
1673.37,0.0
1680.4,0.00214
1687.44,0.020383
1694.47,0.006033
1701.51,0.01627
1708.54,0.0
1715.58,0.005579
1722.61,0.031798
1729.65,0.0
1736.68,0.0
1743.72,0.018007
1750.75,0.016217
1757.79,0.003889
1764.82,0.0
1771.86,0.0
1778.89,0.014216
1785.93,0.013003
1792.96,0.001876
1800.0,0.022389
