wavenumber,intensity
400.0,0.0
407.04,0.0
414.07,0.0
421.11,0.0
428.14,0.01185
435.18,0.0
442.21,0.00382
449.25,0.0
456.28,0.033435
463.32,0.0
470.35,0.021171
477.39,0.018177
484.42,0.008609
491.46,0.023127
498.49,0.011249
505.53,0.0
512.56,0.008866
519.6,0.014423
526.63,0.026213
533.67,0.01842
540.7,0.017721
547.74,0.023071
554.77,0.016022
561.81,0.01336
568.84,0.025468
575.88,0.055906
582.91,0.070203
589.95,0.088946
596.98,0.150571
604.02,0.315375
611.06,0.704338
618.09,0.757263
625.13,0.391364
632.16,0.202454
639.2,0.112702
646.23,0.081482
653.27,0.05788
660.3,0.011333
667.34,0.025271
674.37,0.03675
681.41,0.016108
688.44,0.02875
695.48,0.007467
702.51,0.013851
709.55,0.019219
716.58,0.017965
723.62,0.003189
730.65,0.028397
737.69,0.005656
744.72,0.027277
751.76,0.017495
758.79,0.0
765.83,0.0
772.86,0.032726
779.9,0.040479
786.93,0.024278
793.97,0.022857
801.01,0.021948
808.04,0.035596
815.08,0.066682
822.11,0.088081
829.15,0.122797
836.18,0.200632
843.22,0.41175
850.25,0.834501
857.29,0.922101
864.32,0.541788
871.36,0.281645
878.39,0.151933
885.43,0.1273
892.46,0.047383
899.5,0.038381
906.53,0.021634
913.57,0.03787
920.6,0.039799
927.64,0.018953
934.67,0.0
941.71,0.024934
948.74,0.035028
955.78,0.0
962.81,0.006936
969.85,0.00953
976.88,0.012575
983.92,0.01107
990.95,0.030181
997.99,0.008746
1005.03,0.003733
1012.06,0.012885
1019.1,0.015229
1026.13,0.0
1033.17,0.0
1040.2,0.006836
1047.24,0.022632
1054.27,0.019177
1061.31,0.0
1068.34,0.003238
1075.38,0.019066
1082.41,0.041495
1089.45,0.049961
1096.48,0.0
1103.52,0.02462
1110.55,0.040048
1117.59,0.071617
1124.62,0.129775
1131.66,0.281458
1138.69,0.599852
1145.73,0.578347
1152.76,0.256047
1159.8,0.105762
1166.83,0.107134
1173.87,0.042633
1180.9,0.027474
1187.94,0.029737
1194.97,0.056012
1202.01,0.007113
1209.05,0.039213
1216.08,0.011412
1223.12,0.009476
1230.15,0.034124
1237.19,0.0
1244.22,0.021695
1251.26,0.013759
1258.29,0.020317
1265.33,0.036234
1272.36,0.037222
1279.4,0.021248
1286.43,0.081624
1293.47,0.085786
1300.5,0.191265
1307.54,0.415333
1314.57,0.825498
1321.61,0.469048
1328.64,0.202168
1335.68,0.098248
1342.71,0.038123
1349.75,0.021297
1356.78,0.049837
1363.82,0.042872
1370.85,0.031351
1377.89,0.024882
1384.92,0.01708
1391.96,0.0
1398.99,0.005292
1406.03,0.0
1413.07,0.0
1420.1,0.0
1427.14,0.002627
1434.17,0.013942
1441.21,0.029945
1448.24,0.015968
1455.28,0.018102
1462.31,0.030101
1469.35,0.02263
1476.38,0.031554
1483.42,0.039735
1490.45,0.029751
1497.49,0.041933
1504.52,0.046188
1511.56,0.032246
1518.59,0.078904
1525.63,0.115368
1532.66,0.182738
1539.7,0.308435
1546.73,0.548584
1553.77,0.852426
1560.8,0.774115
1567.84,0.446615
1574.87,0.236099
1581.91,0.198185
1588.94,0.118249
1595.98,0.064761
1603.02,0.046183
1610.05,0.05172
1617.09,0.040961
1624.12,0.051757
1631.16,0.033532
1638.19,0.020911
1645.23,0.023489
1652.26,0.0
1659.3,0.020394
1666.33,0.02536
1673.37,0.034813
1680.4,0.030962
1687.44,0.0034
1694.47,0.029916
1701.51,0.018595
1708.54,0.016732
1715.58,0.0
1722.61,0.015211
1729.65,0.0
1736.68,0.03031
1743.72,0.016892
1750.75,0.002563
1757.79,0.034988
1764.82,0.0
1771.86,0.0
1778.89,0.0
1785.93,0.0
1792.96,0.0
1800.0,0.025694
