wavenumber,intensity
400.0,0.0
407.04,0.455421
414.07,0.392805
421.11,0.818185
428.14,0.057126
435.18,0.0
442.21,0.0
449.25,1.222155
456.28,0.0
463.32,0.0
470.35,0.0
477.39,0.085204
484.42,0.0
491.46,0.0
498.49,0.94883
505.53,0.0
512.56,0.0
519.6,1.175786
526.63,1.017176
533.67,1.442672
540.7,0.64231
547.74,0.0
554.77,1.391623
561.81,0.0
568.84,0.20788
575.88,0.0
582.91,0.0
589.95,0.547336
596.98,0.810448
604.02,0.040131
611.06,1.481829
618.09,0.0
625.13,0.0
632.16,0.609695
639.2,0.0
646.23,0.0
653.27,0.0
660.3,0.655208
667.34,0.626746
674.37,0.0
681.41,0.422363
688.44,0.0
695.48,2.867184
702.51,0.0
709.55,0.0
716.58,0.0
723.62,1.350397
730.65,0.20434
737.69,0.216125
744.72,0.0
751.76,0.0
758.79,0.24099
765.83,0.0
772.86,0.135863
779.9,0.0
786.93,1.31021
793.97,0.682261
801.01,2.070401
808.04,0.874477
815.08,0.464329
822.11,0.358284
829.15,2.16284
836.18,0.774745
843.22,0.0
850.25,0.0
857.29,0.0
864.32,1.679427
871.36,1.790807
878.39,0.0
885.43,0.0
892.46,0.0
899.5,0.0
906.53,0.559912
913.57,0.389927
920.6,0.352312
927.64,0.673887
934.67,0.50593
941.71,0.654127
948.74,0.0
955.78,0.0
962.81,0.693726
969.85,0.0
976.88,1.656801
983.92,1.502367
990.95,0.186082
997.99,0.431857
1005.03,0.0
1012.06,1.552286
1019.1,0.804372
1026.13,0.25115
1033.17,0.0
1040.2,1.325588
1047.24,0.0
1054.27,0.73761
1061.31,0.0
1068.34,0.388856
1075.38,1.981834
1082.41,0.0
1089.45,0.0
1096.48,0.0
1103.52,0.0
1110.55,0.369225
1117.59,0.0
1124.62,0.0
1131.66,0.0
1138.69,2.305843
1145.73,0.0
1152.76,0.0
1159.8,0.955063
1166.83,0.0
1173.87,0.442256
1180.9,1.164745
1187.94,0.084395
1194.97,0.0
1202.01,0.0
1209.05,1.219605
1216.08,0.0
1223.12,1.516601
1230.15,2.327191
1237.19,0.0
1244.22,0.537655
1251.26,0.0
1258.29,0.877502
1265.33,0.0
1272.36,0.930544
1279.4,0.0
1286.43,0.0
1293.47,0.0
1300.5,0.0
1307.54,1.845213
1314.57,0.0
1321.61,0.0
1328.64,0.0
1335.68,0.0
1342.71,0.0
1349.75,1.759731
1356.78,0.0
1363.82,1.488658
1370.85,0.0
1377.89,0.0
1384.92,0.629126
1391.96,1.671795
1398.99,0.818342
1406.03,1.518737
1413.07,0.0
1420.1,0.0
1427.14,0.586515
1434.17,0.0
1441.21,0.71256
1448.24,0.0
1455.28,0.0
1462.31,0.350294
1469.35,0.0
1476.38,0.0
1483.42,0.0
1490.45,1.671226
1497.49,0.0
1504.52,0.0
1511.56,0.291406
1518.59,0.0
1525.63,0.563694
1532.66,1.928377
1539.7,0.0
1546.73,0.0
1553.77,0.0
1560.8,0.0
1567.84,0.0
1574.87,0.0
1581.91,0.151299
1588.94,0.0
1595.98,0.685608
1603.02,0.286392
1610.05,0.0
1617.09,2.260922
1624.12,2.029943
1631.16,0.142191
1638.19,0.0
1645.23,1.253242
1652.26,1.598634
1659.3,0.0
1666.33,0.0
1673.37,1.968934
1680.4,2.154299
1687.44,0.0
1694.47,0.0
1701.51,0.45362
1708.54,0.0
1715.58,0.163703
1722.61,0.898577
1729.65,0.963168
1736.68,1.10647
1743.72,0.0
1750.75,0.0
1757.79,1.471481
1764.82,0.3984
1771.86,0.825325
1778.89,0.0
1785.93,1.551246
1792.96,0.910348
1800.0,0.0
