wavenumber,intensity
400.0,0.0
407.04,0.0
414.07,0.0
421.11,0.011036
428.14,0.0
435.18,0.0
442.21,0.005537
449.25,0.0
456.28,0.0
463.32,0.002343
470.35,0.004109
477.39,0.018098
484.42,0.010516
491.46,0.002347
498.49,0.0
505.53,0.0
512.56,0.004462
519.6,0.020462
526.63,0.001452
533.67,0.0
540.7,0.008872
547.74,0.0
554.77,0.0
561.81,0.008372
568.84,0.014165
575.88,0.0
582.91,0.006818
589.95,0.004951
596.98,0.013027
604.02,0.0
611.06,0.009962
618.09,0.0
625.13,0.0
632.16,0.0
639.2,0.0
646.23,0.015092
653.27,0.012055
660.3,0.0
667.34,0.015134
674.37,0.0
681.41,0.001557
688.44,0.0
695.48,0.005129
702.51,0.016043
709.55,0.013752
716.58,0.009913
723.62,0.015
730.65,0.013139
737.69,0.0
744.72,0.0
751.76,0.002269
758.79,0.018614
765.83,0.009783
772.86,0.051882
779.9,0.009289
786.93,0.012169
793.97,0.051453
801.01,0.080724
808.04,0.104554
815.08,0.194737
822.11,0.437781
829.15,0.941843
836.18,0.656322
843.22,0.266287
850.25,0.146757
857.29,0.054301
864.32,0.049447
871.36,0.037927
878.39,0.020478
885.43,0.030296
892.46,0.024226
899.5,0.047543
906.53,0.019977
913.57,0.0
920.6,0.0
927.64,0.0
934.67,0.020583
941.71,0.0
948.74,0.004192
955.78,0.016108
962.81,0.0
969.85,0.0
976.88,0.0
983.92,0.0
990.95,0.0
997.99,0.010054
1005.03,0.021688
1012.06,0.003509
1019.1,0.007741
1026.13,0.006409
1033.17,0.020268
1040.2,0.017546
1047.24,0.008446
1054.27,0.0
1061.31,0.018461
1068.34,0.011027
1075.38,0.024222
1082.41,0.006011
1089.45,0.036584
1096.48,0.002984
1103.52,0.033709
1110.55,0.013526
1117.59,0.006895
1124.62,0.001963
1131.66,0.023432
1138.69,0.058934
1145.73,0.073485
1152.76,0.128517
1159.8,0.265384
1166.83,0.834818
1173.87,0.448827
1180.9,0.150339
1187.94,0.070342
1194.97,0.051927
1202.01,0.067832
1209.05,0.026321
1216.08,0.048126
1223.12,0.118789
1230.15,0.279196
1237.19,0.620144
1244.22,0.186937
1251.26,0.054231
1258.29,0.044613
1265.33,0.011227
1272.36,0.037858
1279.4,0.023582
1286.43,0.059773
1293.47,0.035623
1300.5,0.064974
1307.54,0.05558
1314.57,0.158684
1321.61,0.4146
1328.64,0.424114
1335.68,0.129079
1342.71,0.086219
1349.75,0.049513
1356.78,0.049599
1363.82,0.029778
1370.85,0.015434
1377.89,0.003991
1384.92,0.0
1391.96,0.011505
1398.99,0.004741
1406.03,0.037223
1413.07,0.0
1420.1,0.010847
1427.14,0.0
1434.17,0.0
1441.21,0.009447
1448.24,0.01787
1455.28,0.027279
1462.31,0.005005
1469.35,0.0
1476.38,0.012955
1483.42,0.014164
1490.45,0.014193
1497.49,0.0
1504.52,0.024964
1511.56,0.010068
1518.59,0.020222
1525.63,0.030056
1532.66,0.021622
1539.7,0.018752
1546.73,0.049307
1553.77,0.024078
1560.8,0.020626
1567.84,0.033296
1574.87,0.063457
1581.91,0.057847
1588.94,0.088341
1595.98,0.142625
1603.02,0.205626
1610.05,0.38404
1617.09,0.785786
1624.12,0.824226
1631.16,0.434333
1638.19,0.241203
1645.23,0.140655
1652.26,0.069162
1659.3,0.06573
1666.33,0.039327
1673.37,0.009901
1680.4,0.03207
1687.44,0.019715
1694.47,0.005633
1701.51,0.021948
1708.54,0.019331
1715.58,0.001692
1722.61,0.015032
1729.65,0.023169
1736.68,0.0
1743.72,0.012013
1750.75,0.005709
1757.79,0.039118
1764.82,0.0
1771.86,0.014693
1778.89,0.0
1785.93,0.002104
1792.96,0.031861
1800.0,0.002968
